Product;Type;Param;NbRows;Sec
MSSQL;Insert;1;10000;25.778695
MSSQL;Insert;10;10000;11.653869
MSSQL;Insert;100;10000;9.337734
MSSQL;Insert;1000;10000;8.936099
MSSQL;Insert;1;100000;261.268368
MSSQL;Insert;10;100000;112.967867
MSSQL;Insert;100;100000;87.477166
MSSQL;Insert;1000;100000;91.522564
MSSQL;Select;10;100000;3.447475
MSSQL;Select;100;100000;2.084878
MSSQL;Select;1;3000000;219.023347
MSSQL;Select;10;3000000;98.796629
MSSQL;Select;100;3000000;87.062582
MSSQL;Select;100;3000000;84.032876

Postgres;Insert;1000;100000;11.552869
Postgres;Insert;100;100000;7.728671
Postgres;Insert;10;100000;16.768717
Postgres;Insert;5;100000;28.877352
Postgres;Insert;1;100000;121.011765
Postgres;Insert;1000;1000000;113.669988
Postgres;Insert;100;1000000;76.382968
Postgres;Insert;10;1000000;171.132695
Postgres;Insert;5;1000000;302.086273
Postgres;Insert;1;1000000;1235.847551
Postgres;Select;1000;1000000;17.795663
Postgres;Select;100;1000000;20.417311
Postgres;Select;10;1000000;23.352568
Postgres;Select;5;1000000;27.188717
Postgres;Select;1;1000000;60.65875
